audit_item,status,count,denominator,percent,interpretation
benchmark_rows,observed,1246,1246,100.0,Table rows; these are not all independent experiments.
accession_matched_rows,observed,459,1246,36.83788121990369,The experimental record and evaluated sequence share a UniProt accession.
species_ec_substrate_id_rows,observed,784,1246,62.92134831460674,"The value is linked at species + EC + substrate-ID level, not accession level."
species_ec_substrate_name_rows,observed,3,1246,0.2407704654895666,The weakest retained matching level uses normalized substrate name.
unique_sequence_substrate_pairs,observed,871,1246,69.90369181380417,Unique full sequence + standardized substrate-parent identities.
rows_in_duplicated_pair_clusters,observed,485,1246,38.924558587479936,Maximum rows sharing one pair: 16.
unique_reaction_clusters,observed,773,1246,62.03852327447833,Species-specific metabolic-model reaction identifiers.
unique_reference_strings,observed,610,1246,48.95666131621188,A semicolon-joined reference field is an approximate literature cluster.
rows_in_duplicated_reference_clusters,observed,832,1246,66.77367576243981,Maximum rows sharing one reference string: 91.
unique_label_assignment_clusters,observed,840,1246,67.41573033707866,"Accession-matched rows are individual units; weaker matches sharing species, EC, substrate parent, selected label, and reference are one assignment cluster."
weaker_evidence_assignment_groups_with_multiple_sequences,observed,119,381,31.23359580052493,480 benchmark rows are affected; the largest group maps one aggregated label to 8 sequences.
rows_in_shared_multisequence_label_assignments,observed,480,1246,38.523274478330656,Rows whose weaker-evidence label-assignment cluster contains multiple sequences.
heteromeric_multigene_complex_rows,observed,0,1246,0.0,The final benchmark excludes heteromeric multi-gene entries; oligomeric state is not annotated.
monatomic_proton_rows,observed,90,1246,7.223113964686998,Selected model reactant is H+.
water_rows,observed,9,1246,0.7223113964686998,Selected model reactant is water.
name_heuristic_currency_or_cofactor_rows,observed,531,1246,42.61637239165329,Exploratory name-only classification; it is not used for the primary role analysis.
registry_currency_or_cofactor_rows,observed,606,1246,48.63563402889245,"Joint normalized-name, database-identifier, and standardized-structure registry classification."
registry_carrier_linked_variable_rows,observed,34,1246,2.7287319422150884,Carrier-linked metabolites are retained as a separate role because they may be the variable substrate.
