method,technical_principle_cn,plain_language_cn,input_needed,representation,model_family,benchmark_dimension,main_caveat,n,coverage_percent,group_cn,mae_log10,rmse_log10,pearson_log10,spearman_log10,within_1.0_log10_fraction,is_current_main_benchmark
DLKcat-official,把底物 SMILES 转成分子图，把酶序列转成序列特征；用 GNN/CNN 类深度网络回归 kcat。,看一个底物长什么样、酶序列长什么样，然后学习二者组合对应的转换速度。,enzyme sequence + substrate name/SMILES,molecular graph fingerprints + protein attention-CNN,"deep learning, GNN + CNN",全量/近全量 sequence+SMILES 基线,较早一代模型；不显式使用完整反应物/产物信息。,977,99.89775051124744,全量/近全量 sequence+SMILES,0.9609739025713386,1.3208100893456407,0.3344547690466997,0.3208806283109257,0.6069600818833163,True
UniKP-official,用 ProtT5 表示蛋白、SMILES Transformer 表示底物，再用传统机器学习模型预测 kcat/Km/kcat/Km。,先让两个预训练模型分别读懂蛋白和小分子，再把特征交给回归器。,enzyme sequence + substrate SMILES,ProtT5 protein embedding + SMILES Transformer substrate embedding,pretrained embeddings + machine learning,全量/近全量 sequence+SMILES,依赖预计算特征和模型版本；不显式看产物侧。,977,99.89775051124744,全量/近全量 sequence+SMILES,0.8913811828830771,1.0995012549101877,0.4779747143359812,0.5106005175125784,0.6622313203684749,True
TurNuP-official,用反应物和产物生成 reaction difference fingerprint，再拼接 ESM1b 蛋白向量，用 XGBoost 预测 kcat。,不仅看底物，还看反应前后分子怎么变，再结合酶序列预测速度。,reactant SMILES + product SMILES + enzyme sequence,reaction difference fingerprint + ESM1b enzyme embedding,"reaction-aware ML, XGBoost",reaction-aware 子集,必须有完整反应 SMILES；当前只覆盖 780/978。,780,79.75460122699386,reaction-aware 子集,0.7008552194051282,1.006128653140317,0.4024289714873291,0.4223572976927363,0.7461538461538462,True
CatPred,CatPred 官方推理流程以 SMILES、酶序列和 protein record/pdbpath 为输入，使用集成模型输出 kcat/Km/Ki 等体外动力学参数。,这是一个面向多种酶动力学参数的统一深度学习框架，本项目只取其中 kcat 模型来评测。,SMILES + sequence + unique pdbpath/protein record,molecular/protein records used by CatPred checkpoints,deep learning ensemble,模型特定子集,官方流程有额外可处理范围限制；当前覆盖 913/978。,913,93.35378323108384,模型特定子集,0.8486958449228428,1.1854453623209176,0.4050667156831472,0.4043502728667954,0.6933187294633077,True
CataPro,结合蛋白语言模型、小分子语言模型和分子指纹，预测 kcat/Km/kcat/Km。,同时让模型读懂酶序列、小分子字符串和传统分子指纹。,enzyme sequence + substrate SMILES + wild/mutant type,ProtT5 + MolT5/SMILES features + molecular fingerprints,pretrained embeddings + neural regression,全量/近全量 sequence+SMILES,需要外部预训练权重；不显式建模产物侧。,977,99.89775051124744,全量/近全量 sequence+SMILES,0.7763091979555361,0.9976517492607953,0.5176537826227122,0.515836133953702,0.7246673490276356,True
PMAK,引入完整反应信息和 residue-aware attention，融合蛋白预训练表示与 RXNFP 反应表示。,让模型同时看酶、反应，并尝试关注对催化更关键的残基位置。,reaction SMILES + enzyme sequence,ProtT5 enzyme embedding + RXNFP/reaction embedding,reaction-aware deep learning,reaction-aware 子集,依赖完整反应 SMILES；当前覆盖 780/978。,780,79.75460122699386,reaction-aware 子集,0.7226630737151282,1.0091012477051045,0.3827831597186651,0.4302729326813397,0.767948717948718,True
KinForm,使用多种蛋白 embedding、可选结合位点信息和底物 SMILES，训练/预测 kcat 与 KM。,尽量把整条蛋白和潜在结合位点的信息都编码进去，再和底物信息融合。,"sequence + SMILES, plus cached embeddings/assets",ESM/ESMC/ProtT5 embeddings + optional binding-site features,embedding-based deep/ML models,模型特定子集,受官方 Zenodo bundle/缓存资产覆盖限制；当前覆盖 563/978。,563,57.56646216768916,模型特定子集,0.782720775494884,0.9893531499095606,0.6028498070295233,0.6296716857294177,0.7158081705150977,True
KcatNet,几何深度学习框架，融合 ProtT5/ESM 蛋白表示和底物 SMILES 表示来预测 turnover number。,把蛋白和底物都编码成结构化特征，再用深度网络学习它们的匹配关系。,enzyme sequence + substrate SMILES,ProtT5/ESM protein embeddings + SMILES Transformer/substrate features,geometric/deep learning,全量/近全量 sequence+SMILES,序列会按模型规则截断；不显式使用产物侧。,977,99.89775051124744,全量/近全量 sequence+SMILES,0.6840685656010199,0.996175291797222,0.4737658652506433,0.5149191122564374,0.7789150460593655,True
PreTKcat,ProtT5 编码酶序列，MolGNet 编码底物分子图，并加入温度特征，最后用 ExtraTrees 预测 kcat。,除了酶和底物，还把实验温度作为影响 kcat 的因素放进去。,sequence + SMILES + temperature,ProtT5 protein embedding + MolGNet molecular graph embedding + temperature features,pretrained embeddings + ExtraTrees,全量/近全量 sequence+SMILES,缺失温度需要填补默认值；本项目使用公开数据可复现流程。,977,99.89775051124744,全量/近全量 sequence+SMILES,0.8623113911976614,1.1104619875212511,0.4087455170609836,0.4580546807053376,0.6489252814738997,True
DEKP-public-retrained,DEKP 使用 ProtT5、SMILES Transformer、PST/MolFormer 及结构/图特征；本项目评测的是公开数据重训版。,它比普通 sequence+SMILES 方法多看蛋白结构相关信息，但我们没有原论文最优私有权重，因此重新训练了公开可复现版本。,sequence + SMILES + protein structure/graph assets,protein/substrate pretrained features + structure graph features,structure-aware deep learning,公开数据重训版,不是官方最优权重；结果反映当前公开复现流程，不等同于论文声称上限。,977,99.89775051124744,公开数据重训版,1.045420481228409,1.2458421760979286,0.2111985982679909,0.2374921877138138,0.5056294779938587,True
