report,table_file,source_path,description,kind
kcat_benchmark_analysis_report,main_report/go_hkp_eval_metrics.csv,reports/tables/go_hkp_eval_metrics.csv,GO-HKP overall and stratified metrics.,copied
kcat_benchmark_analysis_report,main_report/go_hkp_eval_readiness.csv,reports/tables/go_hkp_eval_readiness.csv,GO-HKP readiness and coverage summary.,copied
kcat_benchmark_analysis_report,main_report/main_report_group_definitions.csv,generated from src/46_generate_benchmark_report.py report logic,Group definition table embedded in the main report.,generated
kcat_benchmark_analysis_report,main_report/main_report_legacy_overlap_results.csv,reports/tables/method_eval_summary_annotated.csv,Legacy overlap table embedded in the main report.,generated
kcat_benchmark_analysis_report,main_report/main_report_overall_results.csv,reports/tables/method_rank_current_benchmark.csv,Overall result table embedded in the main report.,generated
kcat_benchmark_analysis_report,main_report/method_eval_summary.csv,reports/tables/method_eval_summary.csv,Overall cross-method summary.,copied
kcat_benchmark_analysis_report,main_report/method_eval_summary_annotated.csv,reports/tables/method_eval_summary_annotated.csv,Cross-method summary with report grouping annotations.,copied
kcat_benchmark_analysis_report,main_report/method_group_annotation.csv,reports/tables/method_group_annotation.csv,"Method grouping, modality, coverage, and notes.",copied
kcat_benchmark_analysis_report,main_report/method_metrics/MTLKP_legacy_overlap_eval_metrics.csv,reports/tables/MTLKP_legacy_overlap_eval_metrics.csv,Method-specific metric table used by the main report.,copied
kcat_benchmark_analysis_report,main_report/method_metrics/TurNuP_legacy_overlap_eval_metrics.csv,reports/tables/TurNuP_legacy_overlap_eval_metrics.csv,Method-specific metric table used by the main report.,copied
kcat_benchmark_analysis_report,main_report/method_metrics/catapro_eval_metrics.csv,reports/tables/catapro_eval_metrics.csv,Method-specific metric table used by the main report.,copied
kcat_benchmark_analysis_report,main_report/method_metrics/catpred_eval_metrics.csv,reports/tables/catpred_eval_metrics.csv,Method-specific metric table used by the main report.,copied
kcat_benchmark_analysis_report,main_report/method_metrics/dekp_public_retrained_eval_metrics.csv,reports/tables/dekp_public_retrained_eval_metrics.csv,Method-specific metric table used by the main report.,copied
kcat_benchmark_analysis_report,main_report/method_metrics/dlkcat_official_eval_metrics.csv,reports/tables/dlkcat_official_eval_metrics.csv,Method-specific metric table used by the main report.,copied
kcat_benchmark_analysis_report,main_report/method_metrics/go_hkp_eval_metrics.csv,reports/tables/go_hkp_eval_metrics.csv,Method-specific metric table used by the main report.,copied
kcat_benchmark_analysis_report,main_report/method_metrics/kcatnet_eval_metrics.csv,reports/tables/kcatnet_eval_metrics.csv,Method-specific metric table used by the main report.,copied
kcat_benchmark_analysis_report,main_report/method_metrics/kinform_eval_metrics.csv,reports/tables/kinform_eval_metrics.csv,Method-specific metric table used by the main report.,copied
kcat_benchmark_analysis_report,main_report/method_metrics/mtlkp_eval_metrics.csv,reports/tables/mtlkp_eval_metrics.csv,Method-specific metric table used by the main report.,copied
kcat_benchmark_analysis_report,main_report/method_metrics/pmak_eval_metrics.csv,reports/tables/pmak_eval_metrics.csv,Method-specific metric table used by the main report.,copied
kcat_benchmark_analysis_report,main_report/method_metrics/pretkcat_eval_metrics.csv,reports/tables/pretkcat_eval_metrics.csv,Method-specific metric table used by the main report.,copied
kcat_benchmark_analysis_report,main_report/method_metrics/selfprot_eval_metrics.csv,reports/tables/selfprot_eval_metrics.csv,Method-specific metric table used by the main report.,copied
kcat_benchmark_analysis_report,main_report/method_metrics/turnup_eval_metrics.csv,reports/tables/turnup_eval_metrics.csv,Method-specific metric table used by the main report.,copied
kcat_benchmark_analysis_report,main_report/method_metrics/unikp_official_eval_metrics.csv,reports/tables/unikp_official_eval_metrics.csv,Method-specific metric table used by the main report.,copied
kcat_benchmark_analysis_report,main_report/method_rank_all_with_legacy.csv,reports/tables/method_rank_all_with_legacy.csv,All-method ranking table including legacy overlap rows.,copied
kcat_benchmark_analysis_report,main_report/method_rank_current_benchmark.csv,reports/tables/method_rank_current_benchmark.csv,Current-method ranking table used in the main report.,copied
kcat_benchmark_analysis_report,main_report/source_database_mae_matrix.csv,reports/tables/source_database_mae_matrix.csv,Source-database MAE matrix used for the source heatmap.,copied
kcat_benchmark_analysis_report,main_report/species_mae_matrix.csv,reports/tables/species_mae_matrix.csv,Species-level MAE matrix used for the species heatmap.,copied
kcat_benchmark_dataset_and_method_context,dataset_method_context_report/benchmark_build_funnel.csv,reports/tables/benchmark_build_funnel.csv,Model-to-benchmark construction funnel by species.,copied
kcat_benchmark_dataset_and_method_context,dataset_method_context_report/benchmark_dataset_direct_yeast_kegg_pathways.csv,reports/tables/benchmark_dataset_direct_yeast_kegg_pathways.csv,Direct yeast-GEM KEGG pathway summary.,copied
kcat_benchmark_dataset_and_method_context,dataset_method_context_report/benchmark_dataset_ec_class_summary.csv,reports/tables/benchmark_dataset_ec_class_summary.csv,EC class coverage summary.,copied
kcat_benchmark_dataset_and_method_context,dataset_method_context_report/benchmark_dataset_enzyme_complex_type_by_species.csv,reports/tables/benchmark_dataset_enzyme_complex_type_by_species.csv,Enzyme complex type distribution by species.,copied
kcat_benchmark_dataset_and_method_context,dataset_method_context_report/benchmark_dataset_kcat_stats_by_species.csv,reports/tables/benchmark_dataset_kcat_stats_by_species.csv,Experimental kcat distribution by species.,copied
kcat_benchmark_dataset_and_method_context,dataset_method_context_report/benchmark_dataset_kegg_like_module_membership.csv,reports/tables/benchmark_dataset_kegg_like_module_membership.csv,KEGG-like module membership distribution.,copied
kcat_benchmark_dataset_and_method_context,dataset_method_context_report/benchmark_dataset_kegg_like_primary_group.csv,reports/tables/benchmark_dataset_kegg_like_primary_group.csv,KEGG-like primary functional group distribution.,copied
kcat_benchmark_dataset_and_method_context,dataset_method_context_report/benchmark_dataset_match_level_by_species.csv,reports/tables/benchmark_dataset_match_level_by_species.csv,Truth matching level distribution by species.,copied
kcat_benchmark_dataset_and_method_context,dataset_method_context_report/benchmark_dataset_source_by_species.csv,reports/tables/benchmark_dataset_source_by_species.csv,Experimental source database distribution by species.,copied
kcat_benchmark_dataset_and_method_context,dataset_method_context_report/benchmark_dataset_species_summary.csv,reports/tables/benchmark_dataset_species_summary.csv,Species distribution and core dataset statistics.,copied
kcat_benchmark_dataset_and_method_context,dataset_method_context_report/benchmark_dataset_substrate_role_by_species.csv,reports/tables/benchmark_dataset_substrate_role_by_species.csv,Currency/cofactor-like substrate summary by species.,copied
kcat_benchmark_dataset_and_method_context,dataset_method_context_report/benchmark_dataset_top_reactions.csv,reports/tables/benchmark_dataset_top_reactions.csv,Top reaction records in the benchmark.,copied
kcat_benchmark_dataset_and_method_context,dataset_method_context_report/benchmark_dataset_top_substrates.csv,reports/tables/benchmark_dataset_top_substrates.csv,Top substrate records in the benchmark.,copied
kcat_benchmark_dataset_and_method_context,dataset_method_context_report/benchmark_file_role_definitions.csv,generated from reports/kcat_benchmark_dataset_and_method_context.md,Benchmark file role table embedded in the context report.,generated
kcat_benchmark_dataset_and_method_context,dataset_method_context_report/benchmark_ready_catpred_enriched_context.csv,reports/tables/benchmark_ready_catpred_enriched_context.csv,Enriched benchmark context table.,copied
kcat_benchmark_dataset_and_method_context,dataset_method_context_report/core_benchmark_tables/benchmark_ready_catpred.csv,data/final/benchmark_ready_catpred.csv,Unified sequence+SMILES benchmark master table.,copied
kcat_benchmark_dataset_and_method_context,dataset_method_context_report/core_benchmark_tables/benchmark_ready_truth.csv,data/final/benchmark_ready_truth.csv,Truth-only benchmark-ready table.,copied
kcat_benchmark_dataset_and_method_context,dataset_method_context_report/core_benchmark_tables/experimental_kcat_truth.csv,data/final/experimental_kcat_truth.csv,Experimental kcat truth table.,copied
kcat_benchmark_dataset_and_method_context,dataset_method_context_report/method_comparison_dimensions.csv,reports/tables/method_comparison_dimensions.csv,Recommended method comparison dimensions.,copied
kcat_benchmark_dataset_and_method_context,dataset_method_context_report/method_eval_summary_annotated.csv,reports/tables/method_eval_summary_annotated.csv,Performance summary joined into the technical method table.,copied
kcat_benchmark_dataset_and_method_context,dataset_method_context_report/method_technical_comparison.csv,reports/tables/method_technical_comparison.csv,Technical comparison of prediction methods.,copied
kcat_benchmark_dataset_and_method_context,dataset_method_context_report/project_directory_analysis_map.csv,reports/tables/project_directory_analysis_map.csv,Project directory map organized by analysis type.,copied
