method,technical_principle_cn,plain_language_cn,input_needed,representation,model_family,benchmark_dimension,main_caveat,n,coverage_percent,group_cn,mae_log10,rmse_log10,pearson_log10,spearman_log10,within_1.0_log10_fraction,is_current_main_benchmark
DLKcat-official,把底物 SMILES 转成分子图，把酶序列转成序列特征；用 GNN/CNN 类深度网络回归 kcat。,看一个底物长什么样、酶序列长什么样，然后学习二者组合对应的转换速度。,enzyme sequence + substrate name/SMILES,molecular graph fingerprints + protein attention-CNN,"deep learning, GNN + CNN",全量/近全量 sequence+SMILES 基线,较早一代模型；不显式使用完整反应物/产物信息。,1246,100.0,全量/近全量 sequence+SMILES 基线,0.973867234633991,1.3217999342000477,0.3187228581262546,0.3077873599627378,0.5842696629213483,True
UniKP-official,用 ProtT5 表示蛋白、SMILES Transformer 表示底物，再用传统机器学习模型预测 kcat/Km/kcat/Km。,先让两个预训练模型分别读懂蛋白和小分子，再把特征交给回归器。,enzyme sequence + substrate SMILES,ProtT5 protein embedding + SMILES Transformer substrate embedding,pretrained embeddings + machine learning,全量/近全量 sequence+SMILES,依赖预计算特征和模型版本；不显式看产物侧。,1246,100.0,全量/近全量 sequence+SMILES,0.8917824674499502,1.10882375748308,0.4130099330305679,0.4325606709792049,0.6548956661316212,True
TurNuP-official,用反应物和产物生成 reaction difference fingerprint，再拼接 ESM1b 蛋白向量，用 XGBoost 预测 kcat。,不仅看底物，还看反应前后分子怎么变，再结合酶序列预测速度。,reactant SMILES + product SMILES + enzyme sequence,reaction difference fingerprint + ESM1b enzyme embedding,"reaction-aware ML, XGBoost",reaction-aware 子集,必须有完整反应 SMILES；当前覆盖 1047/1246。,1047,84.02889245585875,reaction-aware 子集,0.7129826633868195,0.9977125228637708,0.4029434029353708,0.4183043972212784,0.7153772683858644,True
CatPred,CatPred 官方推理流程以 SMILES、酶序列和 protein record/pdbpath 为输入，使用集成模型输出 kcat/Km/Ki 等体外动力学参数。,这是一个面向多种酶动力学参数的统一深度学习框架，本项目只取其中 kcat 模型来评测。,SMILES + sequence + unique pdbpath/protein record,molecular/protein records used by CatPred checkpoints,deep learning ensemble,模型特定子集,官方流程有额外可处理范围限制；当前覆盖 1156/1246。,1156,92.776886035313,模型特定子集,0.8395067747031589,1.1492276383858104,0.4229900660319217,0.4245488296769002,0.6885813148788927,True
CataPro,结合蛋白语言模型、小分子语言模型和分子指纹，预测 kcat/Km/kcat/Km。,同时让模型读懂酶序列、小分子字符串和传统分子指纹。,enzyme sequence + substrate SMILES + wild/mutant type,ProtT5 + MolT5/SMILES features + molecular fingerprints,pretrained embeddings + neural regression,全量/近全量 sequence+SMILES,需要外部预训练权重；不显式建模产物侧。,1246,100.0,全量/近全量 sequence+SMILES,0.796107862704658,1.0191924668492005,0.4620599414046753,0.466856046108433,0.7118780096308186,True
PMAK,引入完整反应信息和 residue-aware attention，融合蛋白预训练表示与 RXNFP 反应表示。,让模型同时看酶、反应，并尝试关注对催化更关键的残基位置。,reaction SMILES + enzyme sequence,ProtT5 enzyme embedding + RXNFP/reaction embedding,reaction-aware deep learning,reaction-aware 子集,依赖完整反应 SMILES；当前覆盖 1047/1246。,1047,84.02889245585875,reaction-aware 子集,0.7231066561965616,0.9867474435761984,0.4067768745090429,0.443196955153625,0.7736389684813754,True
KinForm,使用多种蛋白 embedding、可选结合位点信息和底物 SMILES，训练/预测 kcat 与 KM。,尽量把整条蛋白和潜在结合位点的信息都编码进去，再和底物信息融合。,"sequence + SMILES, plus cached embeddings/assets",ESM/ESMC/ProtT5 embeddings + optional binding-site features,embedding-based deep/ML models,模型特定子集,受官方 Zenodo bundle/缓存资产覆盖限制；当前覆盖 729/1246。,729,58.50722311396469,模型特定子集,0.7841370249160359,0.9868375830603664,0.5534218086561731,0.5486947994534199,0.691358024691358,True
KcatNet,几何深度学习框架，融合 ProtT5/ESM 蛋白表示和底物 SMILES 表示来预测 turnover number。,把蛋白和底物都编码成结构化特征，再用深度网络学习它们的匹配关系。,enzyme sequence + substrate SMILES,ProtT5/ESM protein embeddings + SMILES Transformer/substrate features,geometric/deep learning,全量/近全量 sequence+SMILES,序列会按模型规则截断；不显式使用产物侧。,1246,100.0,全量/近全量 sequence+SMILES,0.7111485963256501,1.0054730312411355,0.4519918726337549,0.4649932306652427,0.7415730337078652,True
PreTKcat,ProtT5 编码酶序列，MolGNet 编码底物分子图，并加入温度特征，最后用 ExtraTrees 预测 kcat。,除了酶和底物，还把实验温度作为影响 kcat 的因素放进去。,sequence + SMILES + temperature,ProtT5 protein embedding + MolGNet molecular graph embedding + temperature features,pretrained embeddings + ExtraTrees,全量/近全量 sequence+SMILES,缺失温度需要填补默认值；主结果使用 exact-overlap-excluded 公开重建，另报告 raw-public 和 near-excluded 敏感性结果。,1246,100.0,全量/近全量 sequence+SMILES,0.9226724170203252,1.1463915590891396,0.3658119176299902,0.3924269939296601,0.5979133226324238,True
DEKP-public-retrained,DEKP 使用 ProtT5、SMILES Transformer、PST/MolFormer 及结构/图特征；本项目评测的是公开数据重训版。,它比普通 sequence+SMILES 方法多看蛋白结构相关信息，但我们没有原论文最优私有权重，因此重新训练了公开可复现版本。,sequence + SMILES + protein structure/graph assets,protein/substrate pretrained features + structure graph features,structure-aware deep learning,公开数据重训版,不是官方最优权重；结果反映当前公开复现流程，不等同于论文声称上限。,1246,100.0,公开数据重训版,1.0691431600416428,1.2740705393447636,0.0967222576045197,0.1136823910854894,0.5048154093097913,True
SELFprot,基于 protein-ligand interaction 预训练/微调框架，使用 CatPred-DB split 相关训练划分微调 kcat。,把酶和小分子看成一对相互作用对象，学习它们共同决定的动力学数值。,sequence + SMILES,chemical encoder + protein encoder + joint interaction layer,protein-ligand deep model,全量/近全量 sequence+SMILES,README 信息较简略；需要在论文写作时继续补齐正式引用与模型细节。,1246,100.0,全量/近全量 sequence+SMILES,0.9399674214101538,1.2193101590041378,0.3744309772836872,0.3736212568459027,0.637239165329053,True
