method,inference_regime,inference_inputs,representation_or_model,implementation_status,main_caveat,n,coverage_percent
KcatNet,Released sequence+substrate checkpoint,Enzyme sequence; substrate SMILES,Protein language-model and molecular graph features with geometric learning,Official public checkpoint model_KcatNet.pt,"26 sequences were truncated to the 1,000-residue model limit.",1246,100.0
CataPro,Released sequence+substrate checkpoint,Enzyme sequence; substrate SMILES; variant type set to wild,"ProtT5/MolT5-derived features, fingerprints, and neural prediction",Mean of 10 released fold-specific models,All 1246 rows scored; no product-side input.,1246,100.0
PreTKcat,Temperature-conditioned public retraining,Enzyme sequence; substrate SMILES; temperature,"ProtT5, MolGNet, and two normalized temperature features with ExtraTrees","Public-data retraining: 16,001 fitted rows, 1,794 features, 100 trees, seed 42",No fitted kcat regressor released; 248 standardized sequence-parent rows excluded; 179 temperatures imputed to 30 C; raw-public and near-excluded reconstructions are reported in S24.,1246,100.0
UniKP,Released sequence+substrate checkpoint,Enzyme sequence; substrate SMILES,Mean-pooled ProtT5 and SMILES Transformer features with ExtraTrees,Official public regressor,"Sequences over 1,000 residues use the first and last 500 residues.",1246,100.0
SELFprot,Released sequence+substrate checkpoint,Enzyme sequence; substrate SMILES,Modular protein/molecule transformer with joint kcat head,Released fold-1 checkpoint,Only fold 1 was present in the released weight package.,1246,100.0
DLKcat,Released sequence+substrate checkpoint,Enzyme sequence; substrate name and SMILES,Substrate molecular graph with protein sequence CNN and attention,Official code and checkpoint,All 1246 rows scored; no product-side input.,1246,100.0
TurNuP,Reaction-aware checkpoint,Reactant SMILES; product SMILES; enzyme sequence,DRFP reaction fingerprint and task-specific ESM-1b/ESP representation with gradient boosting,Official public code and checkpoint,Requires complete reactant and product representations; 199 rows were outside the input domain.,1047,84.02889245585875
PMAK,Reaction-aware checkpoint,Complete reaction SMILES; enzyme sequence,ProtT5 and RXNFP features with residue-aware attention,Mean of five released reaction-cold fold checkpoints,Requires complete reaction SMILES; 199 benchmark rows were outside the input domain.,1047,84.02889245585875
KinForm-L,Method-specific checkpoint subset,Enzyme sequence; substrate SMILES; released precomputed protein features,"ESMC, ESM-2 and ProtT5 global/binding-site features, SMILES Transformer, and ExtraTrees",Released KinForm-L asset bundle,Only 729 rows had all released lookup and feature assets; 517 rows remained unavailable.,729,58.507223113964685
CatPred,Method-specific checkpoint subset,Substrate SMILES; enzyme sequence; generated protein-record cache key,Production kcat ensemble using sequence attention/ESM2 and a D-MPNN substrate encoder,Official production kcat checkpoint ensemble,90 rows did not yield valid predictions; production kcat inference did not use 3D EGNN.,1156,92.776886035313
DEKP-public-retrained,Structure-aware public retraining,Enzyme sequence; substrate SMILES; AlphaFold/PDB residue graph,"DEKP MetaDecoder with molecular, sequence-CNN, and structure-graph features","Public retraining: 13,171 rows; best epoch 2; seed 3407",Final kcat weights were not released; 230 standardized sequence-parent pairs were excluded before fitting.,1246,100.0
GO-HKP,Functional-assignment baseline,DeepGO-SE reaction assignments or UniProt GO annotations,GO hierarchy and organism-filtered GO-linked kcat medians,Benchmark functional-assignment baseline,E. coli and yeast use different GO evidence routes; 10 rows were unassigned; not a direct regression model.,1236,99.19743178170144
