Table,Title,Worksheet
Table S1,Hierarchical experimental matching levels by species.,Table S1
Table S2,Experimental source-database support by species.,Table S2
Table S3,Availability of experimental pH and temperature metadata.,Table S3
Table S4,Benchmark-wide record and prediction matrix with one row per benchmark entry.,Table S4
Table S5,"Method inputs, implementation status, preprocessing, and principal caveats.",Table S5
Table S6,Complete performance metrics on each method's achieved evaluation set.,Table S6
Table S7,Conditional row-resampling intervals for method-level metrics.,Table S7
Table S8,Row-resampling rank stability on common evaluation sets.,Table S8
Table S9,"Protein-, pair-, reaction-, reference-, and label-assignment-cluster bootstrap intervals.",Table S9
Table S10,"Performance on the strictly common 1,047-record reaction-aware set.",Table S10
Table S11,Available-case summaries for CatPred- and KinForm-L-accessible scopes with cell-specific n.,Table S11
Table S12,Secondary row-level Wilcoxon comparisons with global Benjamini-Hochberg adjustment.,Table S12
Table S13,Paired row-resampling MAE differences on the common reaction set.,Table S13
Table S14,Cluster-aggregated paired comparisons with global Benjamini-Hochberg adjustment.,Table S14
Table S15,"Substrate-support, accession, chemical-role, unique-pair, and unique-label sensitivity analyses.",Table S15
Table S16,"Error stratification across species, experimental source and substrate-supported chemical-role groups.",Table S16
Table S17,Benchmark records recurrently represented among the five largest absolute errors of multiple representative methods.,Table S17
Table S18,Experimental-label dispersion within records and between BRENDA and SABIO-RK.,Table S18
Table S19,Mutation-status provenance audit for experimental source databases.,Table S19
Table S20,Prediction performance stratified by standardized proximity to auditable public training corpora.,Table S20
Table S21,PreTKcat sensitivity to progressively stricter exclusion of benchmark-proximal training records.,Table S21
Table S22,"Record-level source, molecular mapping, dependence, direction, role, and training-proximity audit.",Table S22
Table S23,"Long-format method-record input, prediction-status, output, and error table.",Table S23
