category,path,directory_type,contents
Benchmark construction,src/01_parse_models.py to src/11_finalize_benchmark_data.py; configs/,code and rules,"GEM parsing, GPR/EC/substrate extraction, UniProt sequence retrieval, SMILES mapping, BRENDA/SABIO-RK truth matching, and final benchmark filtering."
Raw source data,data/raw/,large source/cache data,"BRENDA, SABIO-RK, compound/CKB, UniProt FASTA, GO mappings, and method source assets. Large files are distributed through Zenodo rather than Git."
Intermediate curation,data/interim/,rebuildable intermediate data,"Reaction-entry tables, sequence/SMILES queues, caches, review lists, reaction SMILES, and method input preparation tables."
Unified benchmark and method outputs,data/final/,final data products,"Experimental truth, benchmark-ready tables, and per-method inputs, metadata, predictions, missing rows, structures, and evaluated rows."
Pipeline runners,scripts/runners/,local and Slurm entry points,"Portable shell entry points for benchmark construction, method input preparation, prediction, and full cluster jobs. Run from the repository root after activating the required environment."
GO analysis,external_methods/GO-HKP/; data/raw/go_hkp/; data/final/go_hkp/,functional-assignment analysis,"GO hierarchy and GO-kcat resources, E. coli DeepGO-SE assignments, yeast UniProt GO mappings, GO-HKP evaluated rows, readiness, and species-level metrics."
KEGG/EC/pathway analysis,src/47_generate_dataset_method_context_report.py; reports/tables/benchmark_dataset_kegg*,functional distribution analysis,EC-to-module KEGG-like groups across species and direct yeast-GEM KEGG pathway annotations.
MAE and error analyses,reports/tables/*_eval_metrics.csv; reports/figures/kcat_benchmark_summary/,performance analysis,"Overall and grouped MAE/RMSE, correlation, bias, within-fold error, coverage-error tradeoff, error distributions, and predicted-versus-true plots."
Species-level analysis,reports/tables/species_mae_matrix.csv; reports/tables/benchmark_dataset_*_by_species.csv,species-stratified analysis,"E. coli versus yeast counts, truth distributions, sources, matching levels, pathway groups, and method MAE."
Method-level analysis,reports/tables/method_*.csv; data/final/<method>/,method comparison,"Method principles, input requirements, comparison groups, coverage, rankings, evaluated predictions, and method-specific limitations."
Reports and publication tables,reports/; reports/report_tables/; docs/,human-readable and manuscript material,"Main analysis report, dataset/method context report, figures, standalone report tables, work log, and manuscript assets."
Third-party methods and model assets,external_methods/,third-party code and large assets,"Published method source code, checkpoints, model bundles, dependency snapshots, and caches. Only lightweight reproducibility code belongs in Git; large assets belong in Zenodo."
